"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee (probleme)"
"expost","FretFluvCat3Request","=K495","FretFluvCat3NbTraj","=K499 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F499)),1,0)"
"expost","FretFluvCat3Request","=K495","FretFluvCat3DistAn","=K499 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F499)),1,0)"
"expost","FretFluvCat4Request","=K506","FretFluvCat4NbTraj","=K510 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F510)),1,0)"
"expost","FretFluvCat4Request","=K506","FretFluvCat4DistAn","=K510 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F510)),1,0)"
"expost","FretFluvCat5Request","=K517","FretFluvCat5NbTraj","=K521 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F521)),1,0)"
"expost","FretFluvCat5Request","=K517","FretFluvCat5DistAn","=K521 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F521)),1,0)"
"expost","FretFluvCat6Request","=K528","FretFluvCat6NbTraj","=K532 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F532)),1,0)"
"expost","FretFluvCat6Request","=K528","FretFluvCat6DistAn","=K532 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F532)),1,0)"
"expost","FretFluvCat7Request","=K539","FretFluvCat7NbTraj","=K543 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F543)),1,0)"
"expost","FretFluvCat7Request","=K539","FretFluvCat7DistAn","=K543 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F543)),1,0)"
"expost","FretFluvCat8Request","=K550","FretFluvCat8NbTraj","=K554 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F554)),1,0)"
"expost","FretFluvCat8Request","=K550","FretFluvCat8DistAn","=K554 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F554)),1,0)"
"expost","FretFluvCat9Request","=K561","FretFluvCat9NbTraj","=K565 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F565)),1,0)"
"expost","FretFluvCat9Request","=K561","FretFluvCat9DistAn","=K565 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F565)),1,0)"
"expost","FretFluvCat10Request","=K572","FretFluvCat10NbTraj","=K576 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F576)),1,0)"
"expost","FretFluvCat10Request","=K572","FretFluvCat10DistAn","=K576 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F576)),1,0)"
"expost","FretFluvCat11Request","=K583","FretFluvCat11NbTraj","=K587 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F587)),1,0)"
"expost","FretFluvCat11Request","=K583","FretFluvCat11DistAn","=K587 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F587)),1,0)"
"expost","FretFluvCat12Request","=K594","FretFluvCat12NbTraj","=K598 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F598)),1,0)"
"expost","FretFluvCat12Request","=K594","FretFluvCat12DistAn","=K598 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F598)),1,0)"
"expost","FretFluvCat13Request","=K605","FretFluvCat13NbTraj","=K609 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F609)),1,0)"
"expost","FretFluvCat13Request","=K605","FretFluvCat13DistAn","=K609 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F609)),1,0)"
"expost","FretFluvCat14Request","=K616","FretFluvCat14NbTraj","=K620 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F620)),1,0)"
"expost","FretFluvCat14Request","=K616","FretFluvCat14DistAn","=K620 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F620)),1,0)"
"expost","FretFluvCat15Request","=K627","FretFluvCat15NbTraj","=K631 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F631)),1,0)"
"expost","FretFluvCat15Request","=K627","FretFluvCat15DistAn","=K631 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F631)),1,0)"
"expost","FretFluvCat16Request","=K638","FretFluvCat16NbTraj","=K642 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F642)),1,0)"
"expost","FretFluvCat16Request","=K638","FretFluvCat16DistAn","=K642 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F642)),1,0)"
"expost","FretFluvCat17Request","=K649","FretFluvCat17NbTraj","=K653 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F653)),1,0)"
"expost","FretFluvCat17Request","=K649","FretFluvCat17DistAn","=K653 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F653)),1,0)"
"expost","FretFluvCat18Request","=K660","FretFluvCat18NbTraj","=K664 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F664)),1,0)"
"expost","FretFluvCat18Request","=K660","FretFluvCat18DistAn","=K664 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F664)),1,0)"
"expost","FretFluvCat19Request","=K671","FretFluvCat19NbTraj","=K675 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F675)),1,0)"
"expost","FretFluvCat19Request","=K671","FretFluvCat19DistAn","=K675 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F675)),1,0)"
"expost","FretFluvCat20Request","=K682","FretFluvCat20NbTraj","=K686 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F686)),1,0)"
"expost","FretFluvCat20Request","=K682","FretFluvCat20DistAn","=K686 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F686)),1,0)"
"expost","FretFluvCat21Request","=K693","FretFluvCat21NbTraj","=K697 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F697)),1,0)"
"expost","FretFluvCat21Request","=K693","FretFluvCat21DistAn","=K697 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F697)),1,0)"
"expost","FretFluvCat22Request","=K704","FretFluvCat22NbTraj","=K708 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F708)),1,0)"
"expost","FretFluvCat22Request","=K704","FretFluvCat22DistAn","=K708 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F708)),1,0)"
"expost","FretFluvCat23Request","=K715","FretFluvCat23NbTraj","=K719 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F719)),1,0)"
"expost","FretFluvCat23Request","=K715","FretFluvCat23DistAn","=K719 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F719)),1,0)"
"expost","FretFluvCat24Request","=K726","FretFluvCat24NbTraj","=K730 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F730)),1,0)"
"expost","FretFluvCat24Request","=K726","FretFluvCat24DistAn","=K730 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F730)),1,0)"
"expost","FretFluvCat25Request","=K737","FretFluvCat25NbTraj","=K741 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F741)),1,0)"
