"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee (probleme)"
"init","FretFluvCat1Request","=K473","FretFluvCat1NbTraj","=K477 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F477)),1,0)"
"init","FretFluvCat1Request","=K473","FretFluvCat1DistAn","=K477 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F477)),1,0)"
"init","FretFluvCat2Request","=K484","FretFluvCat2NbTraj","=K488 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F488)),1,0)"
"init","FretFluvCat2Request","=K484","FretFluvCat2DistAn","=K488 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F488)),1,0)"
"init","FretFluvCat3Request","=K495","FretFluvCat3NbTraj","=K499 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F499)),1,0)"
"init","FretFluvCat3Request","=K495","FretFluvCat3DistAn","=K499 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F499)),1,0)"
"init","FretFluvCat4Request","=K506","FretFluvCat4NbTraj","=K510 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F510)),1,0)"
"init","FretFluvCat4Request","=K506","FretFluvCat4DistAn","=K510 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F510)),1,0)"
"init","FretFluvCat5Request","=K517","FretFluvCat5NbTraj","=K521 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F521)),1,0)"
"init","FretFluvCat5Request","=K517","FretFluvCat5DistAn","=K521 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F521)),1,0)"
"init","FretFluvCat6Request","=K528","FretFluvCat6NbTraj","=K532 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F532)),1,0)"
"init","FretFluvCat6Request","=K528","FretFluvCat6DistAn","=K532 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F532)),1,0)"
"init","FretFluvCat7Request","=K539","FretFluvCat7NbTraj","=K543 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F543)),1,0)"
"init","FretFluvCat7Request","=K539","FretFluvCat7DistAn","=K543 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F543)),1,0)"
"init","FretFluvCat8Request","=K550","FretFluvCat8NbTraj","=K554 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F554)),1,0)"
"init","FretFluvCat8Request","=K550","FretFluvCat8DistAn","=K554 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F554)),1,0)"
"init","FretFluvCat9Request","=K561","FretFluvCat9NbTraj","=K565 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F565)),1,0)"
"init","FretFluvCat9Request","=K561","FretFluvCat9DistAn","=K565 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F565)),1,0)"
"init","FretFluvCat10Request","=K572","FretFluvCat10NbTraj","=K576 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F576)),1,0)"
"init","FretFluvCat10Request","=K572","FretFluvCat10DistAn","=K576 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F576)),1,0)"
"init","FretFluvCat11Request","=K583","FretFluvCat11NbTraj","=K587 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F587)),1,0)"
"init","FretFluvCat11Request","=K583","FretFluvCat11DistAn","=K587 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F587)),1,0)"
"init","FretFluvCat12Request","=K594","FretFluvCat12NbTraj","=K598 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F598)),1,0)"
"init","FretFluvCat12Request","=K594","FretFluvCat12DistAn","=K598 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F598)),1,0)"
"init","FretFluvCat13Request","=K605","FretFluvCat13NbTraj","=K609 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F609)),1,0)"
"init","FretFluvCat13Request","=K605","FretFluvCat13DistAn","=K609 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F609)),1,0)"
"init","FretFluvCat14Request","=K616","FretFluvCat14NbTraj","=K620 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F620)),1,0)"
"init","FretFluvCat14Request","=K616","FretFluvCat14DistAn","=K620 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F620)),1,0)"
"init","FretFluvCat15Request","=K627","FretFluvCat15NbTraj","=K631 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F631)),1,0)"
"init","FretFluvCat15Request","=K627","FretFluvCat15DistAn","=K631 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F631)),1,0)"
"init","FretFluvCat16Request","=K638","FretFluvCat16NbTraj","=K642 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F642)),1,0)"
"init","FretFluvCat16Request","=K638","FretFluvCat16DistAn","=K642 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F642)),1,0)"
"init","FretFluvCat17Request","=K649","FretFluvCat17NbTraj","=K653 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F653)),1,0)"
"init","FretFluvCat17Request","=K649","FretFluvCat17DistAn","=K653 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F653)),1,0)"
"init","FretFluvCat18Request","=K660","FretFluvCat18NbTraj","=K664 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F664)),1,0)"
"init","FretFluvCat18Request","=K660","FretFluvCat18DistAn","=K664 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F664)),1,0)"
"init","FretFluvCat19Request","=K671","FretFluvCat19NbTraj","=K675 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F675)),1,0)"
"init","FretFluvCat19Request","=K671","FretFluvCat19DistAn","=K675 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F675)),1,0)"
"init","FretFluvCat20Request","=K682","FretFluvCat20NbTraj","=K686 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F686)),1,0)"
"init","FretFluvCat20Request","=K682","FretFluvCat20DistAn","=K686 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F686)),1,0)"
"init","FretFluvCat21Request","=K693","FretFluvCat21NbTraj","=K697 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F697)),1,0)"
"init","FretFluvCat21Request","=K693","FretFluvCat21DistAn","=K697 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F697)),1,0)"
"init","FretFluvCat22Request","=K704","FretFluvCat22NbTraj","=K708 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F708)),1,0)"
"init","FretFluvCat22Request","=K704","FretFluvCat22DistAn","=K708 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F708)),1,0)"
"init","FretFluvCat23Request","=K715","FretFluvCat23NbTraj","=K719 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F719)),1,0)"
"init","FretFluvCat23Request","=K715","FretFluvCat23DistAn","=K719 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F719)),1,0)"
"init","FretFluvCat24Request","=K726","FretFluvCat24NbTraj","=K730 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F730)),1,0)"
"init","FretFluvCat24Request","=K726","FretFluvCat24DistAn","=K730 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F730)),1,0)"
"init","FretFluvCat25Request","=K737","FretFluvCat25NbTraj","=K741 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F741)),1,0)"
"init","FretFluvCat25Request","=K737","FretFluvCat25DistAn","=K741 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F741)),1,0)"
"init","FretFluvCat26Request","=K748","FretFluvCat26NbTraj","=K752 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F752)),1,0)"
"init","FretFluvCat26Request","=K748","FretFluvCat26DistAn","=K752 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F752)),1,0)"
"init","FretFluvCat27Request","=K759","FretFluvCat27NbTraj","=K763 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F763)),1,0)"
"init","FretFluvCat27Request","=K759","FretFluvCat27DistAn","=K763 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F763)),1,0)"
"init","FretFluvCat28Request","=K770","FretFluvCat28NbTraj","=K774 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F774)),1,0)"
"init","FretFluvCat28Request","=K770","FretFluvCat28DistAn","=K774 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F774)),1,0)"
"init","FretFluvCat29Request","=K781","FretFluvCat29NbTraj","=K785 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F785)),1,0)"
"init","FretFluvCat29Request","=K781","FretFluvCat29DistAn","=K785 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F785)),1,0)"
"init","FretFluvCat30Request","=K792","FretFluvCat30NbTraj","=K796 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F796)),1,0)"
"init","FretFluvCat30Request","=K792","FretFluvCat30DistAn","=K796 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F796)),1,0)"
"init","FretFluvCat31Request","=K803","FretFluvCat31NbTraj","=K807 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F807)),1,0)"
"init","FretFluvCat31Request","=K803","FretFluvCat31DistAn","=K807 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F807)),1,0)"
"init","FretFluvCat32Request","=K814","FretFluvCat32NbTraj","=K818 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F818)),1,0)"
"init","FretFluvCat32Request","=K814","FretFluvCat32DistAn","=K818 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F818)),1,0)"
"init","FretFluvCat33Request","=K825","FretFluvCat33NbTraj","=K829 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F829)),1,0)"
"init","FretFluvCat33Request","=K825","FretFluvCat33DistAn","=K829 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F829)),1,0)"
"init","FretFluvCat34Request","=K836","FretFluvCat34NbTraj","=K840 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F840)),1,0)"
"init","FretFluvCat34Request","=K836","FretFluvCat34DistAn","=K840 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F840)),1,0)"
"init","FretFluvCat35Request","=K847","FretFluvCat35NbTraj","=K851 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F851)),1,0)"
"init","FretFluvCat35Request","=K847","FretFluvCat35DistAn","=K851 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F851)),1,0)"
"init","FretFluvCat36Request","=K858","FretFluvCat36NbTraj","=K862 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F862)),1,0)"
"init","FretFluvCat36Request","=K858","FretFluvCat36DistAn","=K862 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F862)),1,0)"
"init","FretFluvCat37Request","=K869","FretFluvCat37NbTraj","=K873 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F873)),1,0)"
"init","FretFluvCat37Request","=K869","FretFluvCat37DistAn","=K873 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F873)),1,0)"
"init","FretFluvCat38Request","=K880","FretFluvCat38NbTraj","=K884 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F884)),1,0)"
"init","FretFluvCat38Request","=K880","FretFluvCat38DistAn","=K884 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F884)),1,0)"
"init","FretFluvCat39Request","=K891","FretFluvCat39NbTraj","=K895 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F895)),1,0)"
"init","FretFluvCat39Request","=K891","FretFluvCat39DistAn","=K895 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F895)),1,0)"
"init","FretFluvCat40Request","=K902","FretFluvCat40NbTraj","=K906 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F906)),1,0)"
"init","FretFluvCat40Request","=K902","FretFluvCat40DistAn","=K906 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F906)),1,0)"
"init","FretFluvCat41Request","=K913","FretFluvCat41NbTraj","=K917 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F917)),1,0)"
"init","FretFluvCat41Request","=K913","FretFluvCat41DistAn","=K917 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F917)),1,0)"
"init","FretFluvCat42Request","=K924","FretFluvCat42NbTraj","=K928 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F928)),1,0)"
"init","FretFluvCat42Request","=K924","FretFluvCat42DistAn","=K928 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F928)),1,0)"
"init","FretFluvCat43Request","=K935","FretFluvCat43NbTraj","=K939 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F939)),1,0)"
"init","FretFluvCat43Request","=K935","FretFluvCat43DistAn","=K939 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F939)),1,0)"
"init","FretFluvCat44Request","=K946","FretFluvCat44NbTraj","=K950 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F950)),1,0)"
"init","FretFluvCat44Request","=K946","FretFluvCat44DistAn","=K950 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F950)),1,0)"
"init","FretFluvCat45Request","=K957","FretFluvCat45NbTraj","=K961 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F961)),1,0)"
"init","FretFluvCat45Request","=K957","FretFluvCat45DistAn","=K961 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F961)),1,0)"
"init","FretFluvCat46Request","=K968","FretFluvCat46NbTraj","=K972 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F972)),1,0)"
"init","FretFluvCat46Request","=K968","FretFluvCat46DistAn","=K972 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F972)),1,0)"
"init","FretFluvCat47Request","=K979","FretFluvCat47NbTraj","=K983 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F983)),1,0)"
"init","FretFluvCat47Request","=K979","FretFluvCat47DistAn","=K983 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F983)),1,0)"
"init","FretFluvCat48Request","=K990","FretFluvCat48NbTraj","=K994 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F994)),1,0)"
"init","FretFluvCat48Request","=K990","FretFluvCat48DistAn","=K994 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F994)),1,0)"
"init","FretFluvCat49Request","=K1001","FretFluvCat49NbTraj","=K1005 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1005)),1,0)"
"init","FretFluvCat49Request","=K1001","FretFluvCat49DistAn","=K1005 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1005)),1,0)"
"init","FretFluvCat50Request","=K1012","FretFluvCat50NbTraj","=K1016 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1016)),1,0)"
"init","FretFluvCat50Request","=K1012","FretFluvCat50DistAn","=K1016 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1016)),1,0)"
"init","FretFluvCat51Request","=K1023","FretFluvCat51NbTraj","=K1027 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1027)),1,0)"
"init","FretFluvCat51Request","=K1023","FretFluvCat51DistAn","=K1027 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1027)),1,0)"
"init","FretFluvCat52Request","=K1034","FretFluvCat52NbTraj","=K1038 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1038)),1,0)"
"init","FretFluvCat52Request","=K1034","FretFluvCat52DistAn","=K1038 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1038)),1,0)"
"init","FretFluvCat53Request","=K1045","FretFluvCat53NbTraj","=K1049 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1049)),1,0)"
"init","FretFluvCat53Request","=K1045","FretFluvCat53DistAn","=K1049 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1049)),1,0)"
"init","FretFluvCat54Request","=K1056","FretFluvCat54NbTraj","=K1060 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1060)),1,0)"
"init","FretFluvCat54Request","=K1056","FretFluvCat54DistAn","=K1060 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1060)),1,0)"
"init","FretFluvCat55Request","=K1067","FretFluvCat55NbTraj","=K1071 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1071)),1,0)"
"init","FretFluvCat55Request","=K1067","FretFluvCat55DistAn","=K1071 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1071)),1,0)"
"init","FretFluvCat56Request","=K1078","FretFluvCat56NbTraj","=K1082 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F1082)),1,0)"
"init","FretFluvCat56Request","=K1078","FretFluvCat56DistAn","=K1082 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F1082)),1,0)"
"init","FretFerrMot","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),
       ISNUMBER(SEARCH(""C4"",$F$17))),
1,0)","FretFerrVolumeElec","=K1089 *
IF(ISNUMBER(SEARCH(""Electrique"",$F$1089)),1,0)"
"init","FretFerrMot","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),
       ISNUMBER(SEARCH(""C4"",$F$17))),
1,0)","FretFerrVolumeDies","=K1089 *
IF(ISNUMBER(SEARCH(""Diesel"",$F$1089)),1,0)"
"init","Cyclolog","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),
       ISNUMBER(SEARCH(""C4"",$F$17))),
1,0)","CyclologVolume","=K1092 * IF($F$1092=""Oui"",1,0)"
"init","LivrNuitParc","=IF(OR(ISNUMBER(SEARCH(""C4"",$F$18)),ISNUMBER(SEARCH(""C4"",$F$17))),1,0)","LivrNuitTourneeDist1","=IFERROR(SEARCH(B1594, $F$1593),0) * $K$1593"
"ref","FretFluvCat1Request","=K456","FretFluvCat1NbTraj","=K460 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F460)),1,0)"
"ref","FretFluvCat1Request","=K456","FretFluvCat1DistAn","=K460 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F460)),1,0)"
"ref","FretFluvCat2Request","=K467","FretFluvCat2NbTraj","=K471 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F471)),1,0)"
"ref","FretFluvCat2Request","=K467","FretFluvCat2DistAn","=K471 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F471)),1,0)"
"ref","FretFluvCat3Request","=K478","FretFluvCat3NbTraj","=K482 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F482)),1,0)"
"ref","FretFluvCat3Request","=K478","FretFluvCat3DistAn","=K482 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F482)),1,0)"
"ref","FretFluvCat4Request","=K489","FretFluvCat4NbTraj","=K493 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F493)),1,0)"
"ref","FretFluvCat4Request","=K489","FretFluvCat4DistAn","=K493 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F493)),1,0)"
"ref","FretFluvCat5Request","=K500","FretFluvCat5NbTraj","=K504 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F504)),1,0)"
"ref","FretFluvCat5Request","=K500","FretFluvCat5DistAn","=K504 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F504)),1,0)"
"ref","FretFluvCat6Request","=K511","FretFluvCat6NbTraj","=K515 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F515)),1,0)"
"ref","FretFluvCat6Request","=K511","FretFluvCat6DistAn","=K515 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F515)),1,0)"
"ref","FretFluvCat7Request","=K522","FretFluvCat7NbTraj","=K526 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F526)),1,0)"
"ref","FretFluvCat7Request","=K522","FretFluvCat7DistAn","=K526 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F526)),1,0)"
"ref","FretFluvCat8Request","=K533","FretFluvCat8NbTraj","=K537 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F537)),1,0)"
"ref","FretFluvCat8Request","=K533","FretFluvCat8DistAn","=K537 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F537)),1,0)"
"ref","FretFluvCat9Request","=K544","FretFluvCat9NbTraj","=K548 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F548)),1,0)"
"ref","FretFluvCat9Request","=K544","FretFluvCat9DistAn","=K548 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F548)),1,0)"
"ref","FretFluvCat10Request","=K555","FretFluvCat10NbTraj","=K559 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F559)),1,0)"
"ref","FretFluvCat10Request","=K555","FretFluvCat10DistAn","=K559 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F559)),1,0)"
"ref","FretFluvCat11Request","=K566","FretFluvCat11NbTraj","=K570 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F570)),1,0)"
"ref","FretFluvCat11Request","=K566","FretFluvCat11DistAn","=K570 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F570)),1,0)"
"ref","FretFluvCat12Request","=K577","FretFluvCat12NbTraj","=K581 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F581)),1,0)"
"ref","FretFluvCat12Request","=K577","FretFluvCat12DistAn","=K581 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F581)),1,0)"
"ref","FretFluvCat13Request","=K588","FretFluvCat13NbTraj","=K592 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F592)),1,0)"
"ref","FretFluvCat13Request","=K588","FretFluvCat13DistAn","=K592 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F592)),1,0)"
"ref","FretFluvCat14Request","=K599","FretFluvCat14NbTraj","=K603 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F603)),1,0)"
"ref","FretFluvCat14Request","=K599","FretFluvCat14DistAn","=K603 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F603)),1,0)"
"ref","FretFluvCat15Request","=K610","FretFluvCat15NbTraj","=K614 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F614)),1,0)"
"ref","FretFluvCat15Request","=K610","FretFluvCat15DistAn","=K614 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F614)),1,0)"
"ref","FretFluvCat16Request","=K621","FretFluvCat16NbTraj","=K625 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F625)),1,0)"
"ref","FretFluvCat16Request","=K621","FretFluvCat16DistAn","=K625 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F625)),1,0)"
"ref","FretFluvCat17Request","=K632","FretFluvCat17NbTraj","=K636 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F636)),1,0)"
"ref","FretFluvCat17Request","=K632","FretFluvCat17DistAn","=K636 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F636)),1,0)"
"ref","FretFluvCat18Request","=K643","FretFluvCat18NbTraj","=K647 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F647)),1,0)"
"ref","FretFluvCat18Request","=K643","FretFluvCat18DistAn","=K647 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F647)),1,0)"
"ref","FretFluvCat19Request","=K654","FretFluvCat19NbTraj","=K658 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F658)),1,0)"
"ref","FretFluvCat19Request","=K654","FretFluvCat19DistAn","=K658 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F658)),1,0)"
"ref","FretFluvCat20Request","=K665","FretFluvCat20NbTraj","=K669 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F669)),1,0)"
"ref","FretFluvCat20Request","=K665","FretFluvCat20DistAn","=K669 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F669)),1,0)"
