"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee","imbrique_ok","condition_resolue"
"init","FretFluvCat1Request","=K473","FretFluvCat1NbTraj","=K477 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F477)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat1Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat1Request","=K473","FretFluvCat1DistAn","=K477 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F477)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat1Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat2Request","=K484","FretFluvCat2NbTraj","=K488 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F488)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat2Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat2Request","=K484","FretFluvCat2DistAn","=K488 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F488)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat2Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat3Request","=K495","FretFluvCat3NbTraj","=K499 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F499)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat3Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat3Request","=K495","FretFluvCat3DistAn","=K499 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F499)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat3Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat4Request","=K506","FretFluvCat4NbTraj","=K510 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F510)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat4Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat4Request","=K506","FretFluvCat4DistAn","=K510 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F510)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat4Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat5Request","=K517","FretFluvCat5NbTraj","=K521 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F521)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat5Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat5Request","=K517","FretFluvCat5DistAn","=K521 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F521)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat5Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat6Request","=K528","FretFluvCat6NbTraj","=K532 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F532)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat6Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat6Request","=K528","FretFluvCat6DistAn","=K532 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F532)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat6Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat7Request","=K539","FretFluvCat7NbTraj","=K543 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F543)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat7Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat7Request","=K539","FretFluvCat7DistAn","=K543 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F543)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat7Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat8Request","=K550","FretFluvCat8NbTraj","=K554 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F554)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat8Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat8Request","=K550","FretFluvCat8DistAn","=K554 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F554)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat8Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat9Request","=K561","FretFluvCat9NbTraj","=K565 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F565)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat9Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat9Request","=K561","FretFluvCat9DistAn","=K565 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F565)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat9Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat10Request","=K572","FretFluvCat10NbTraj","=K576 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F576)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat10Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat10Request","=K572","FretFluvCat10DistAn","=K576 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F576)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat10Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat11Request","=K583","FretFluvCat11NbTraj","=K587 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F587)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat11Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat11Request","=K583","FretFluvCat11DistAn","=K587 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F587)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat11Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat12Request","=K594","FretFluvCat12NbTraj","=K598 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F598)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat12Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat12Request","=K594","FretFluvCat12DistAn","=K598 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F598)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat12Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat13Request","=K605","FretFluvCat13NbTraj","=K609 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F609)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat13Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat13Request","=K605","FretFluvCat13DistAn","=K609 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F609)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat13Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat14Request","=K616","FretFluvCat14NbTraj","=K620 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F620)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat14Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat14Request","=K616","FretFluvCat14DistAn","=K620 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F620)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat14Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat15Request","=K627","FretFluvCat15NbTraj","=K631 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F631)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat15Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat15Request","=K627","FretFluvCat15DistAn","=K631 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F631)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat15Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat16Request","=K638","FretFluvCat16NbTraj","=K642 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F642)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat16Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat16Request","=K638","FretFluvCat16DistAn","=K642 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F642)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat16Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat17Request","=K649","FretFluvCat17NbTraj","=K653 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F653)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat17Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat17Request","=K649","FretFluvCat17DistAn","=K653 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F653)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat17Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat18Request","=K660","FretFluvCat18NbTraj","=K664 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F664)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat18Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat18Request","=K660","FretFluvCat18DistAn","=K664 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F664)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat18Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat19Request","=K671","FretFluvCat19NbTraj","=K675 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F675)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat19Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat19Request","=K671","FretFluvCat19DistAn","=K675 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F675)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat19Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat20Request","=K682","FretFluvCat20NbTraj","=K686 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F686)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat20Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat20Request","=K682","FretFluvCat20DistAn","=K686 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F686)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat20Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat21Request","=K693","FretFluvCat21NbTraj","=K697 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F697)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat21Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat21Request","=K693","FretFluvCat21DistAn","=K697 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F697)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat21Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat22Request","=K704","FretFluvCat22NbTraj","=K708 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F708)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat22Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat22Request","=K704","FretFluvCat22DistAn","=K708 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F708)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat22Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat23Request","=K715","FretFluvCat23NbTraj","=K719 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F719)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat23Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat23Request","=K715","FretFluvCat23DistAn","=K719 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F719)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat23Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat24Request","=K726","FretFluvCat24NbTraj","=K730 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F730)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat24Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat24Request","=K726","FretFluvCat24DistAn","=K730 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F730)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat24Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"init","FretFluvCat25Request","=K737","FretFluvCat25NbTraj","=K741 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F741)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat25Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"init","FretFluvCat25Request","=K737","FretFluvCat25DistAn","=K741 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F741)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat25Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
