"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee","imbrique_ok","condition_resolue"
"expost","FretFluvCat38Request","=K880","FretFluvCat38DistAn","=K884 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F884)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat38Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat39Request","=K891","FretFluvCat39NbTraj","=K895 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F895)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat39Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat39Request","=K891","FretFluvCat39DistAn","=K895 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F895)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat39Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat40Request","=K902","FretFluvCat40NbTraj","=K906 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F906)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat40Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat40Request","=K902","FretFluvCat40DistAn","=K906 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F906)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat40Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat41Request","=K913","FretFluvCat41NbTraj","=K917 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F917)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat41Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat41Request","=K913","FretFluvCat41DistAn","=K917 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F917)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat41Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat42Request","=K924","FretFluvCat42NbTraj","=K928 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F928)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat42Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
"expost","FretFluvCat42Request","=K924","FretFluvCat42DistAn","=K928 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F928)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat42Request"",""value"":""La distance parcourue annuellement pour ce type de barge""}]}"
"expost","FretFluvCat43Request","=K935","FretFluvCat43NbTraj","=K939 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F939)),1,0)","OUI","{""operator"":""AND"",""conditions"":[{""operator"":""OR"",""conditions"":[{""type"":""contains"",""excel_indicator_id"":""ActionsCharte"",""value"":""C4""},{""type"":""contains"",""excel_indicator_id"":""ActionsAutres"",""value"":""C4""}]},{""type"":""contains"",""excel_indicator_id"":""FretFluvCat43Request"",""value"":""Une estimation du nombre annuel de trajets pour ce type de barge""}]}"
